,Date,City,Country,Venue,Opening acts,Revenue,Tickets Sold,Tickets Available,Capacity
0,2008-07-14,Inglewood,United States,The Forum,Shearwater,2487994,30085,30085,30085
1,2008-07-15,Inglewood,United States,The Forum,Shearwater,2487994,30085,30085,30085
2,2008-07-18,San Jose,United States,HP Pavilion,Jon Hopkins,1219849,15325,15838,15838
3,2008-07-19,Paradise,United States,MGM Grand Garden Arena,Jon Hopkins,1262926,14058,14058,14058
4,2008-07-22,Chicago,United States,United Center,Jon Hopkins,2425592,29815,31056,31056
5,2008-07-23,Chicago,United States,United Center,Jon Hopkins,2425592,29815,31056,31056
6,2008-07-25,Philadelphia,United States,Wachovia Center,Jon Hopkins,1395623,16738,16738,16738
8,2008-07-29,Montreal,Canada,Bell Centre,Jon Hopkins,1415268,17259,17259,17259
9,2008-07-30,Toronto,Canada,Air Canada Centre,Shearwater,2954646,33908,33908,33908
10,2008-07-31,Toronto,Canada,Air Canada Centre,Shearwater,2954646,33908,33908,33908
11,2008-08-02,Hartford,United States,XL Center,Jon Hopkins,993924,12589,12589,12589
12,2008-08-03,"Washington, D.C.",United States,Verizon Center,Jon Hopkins,1354878,15760,15760,15760
13,2008-08-04,Boston,United States,TD Banknorth Garden,Jon Hopkins,1229417,14445,14445,14445
16,2008-09-01,Strasbourg,France,Zénith de Strasbourg,High Wire Albert Hammond Jr.,673108,11074,11074,11074
17,2008-09-02,Mannheim,Germany,SAP Arena,High Wire Albert Hammond Jr.,906935,12441,12441,12441
18,2008-09-04,Lyon,France,Halle Tony Garnier,High Wire Albert Hammond Jr.,1038147,16648,16648,16648
19,2008-09-06,Barcelona,Spain,Palau Sant Jordi,High Wire Albert Hammond Jr.,1221409,17828,17960,17960
20,2008-09-07,Madrid,Spain,Palacio de Deportes,High Wire Albert Hammond Jr.,1058986,15499,15548,15548
21,2008-09-09,Paris,France,Palais Omnisports de Paris-Bercy,High Wire Albert Hammond Jr.,2298435,32800,32800,32800
22,2008-09-10,Paris,France,Palais Omnisports de Paris-Bercy,High Wire Albert Hammond Jr.,2298435,32800,32800,32800
23,2008-09-12,Cologne,Germany,Kölnarena,High Wire Albert Hammond Jr.,1180183,16105,16105,16105
24,2008-09-14,Hamburg,Germany,Color Line Arena,High Wire Albert Hammond Jr.,918045,12558,12558,12558
25,2008-09-15,Berlin,Germany,O2 World,High Wire Albert Hammond Jr.,1034744,14362,14362,14362
26,2008-09-17,Stockholm,Sweden,Stockholm Globe Arena,High Wire Albert Hammond Jr.,1873058,28043,28510,28510
27,2008-09-18,Stockholm,Sweden,Stockholm Globe Arena,High Wire Albert Hammond Jr.,1873058,28043,28510,28510
28,2008-09-19,Oslo,Norway,Oslo Spektrum,High Wire Albert Hammond Jr.,671173,8064,8213,8213
29,2008-09-22,Prague,Czech Republic,O2 Arena,High Wire Albert Hammond Jr.,905311,14889,15000,15000
30,2008-09-23,Budapest,Hungary,Budapest Sports Arena,High Wire Albert Hammond Jr.,780851,11159,11466,11466
31,2008-09-24,Vienna,Austria,Wiener Stadthalle,High Wire Albert Hammond Jr.,960526,13340,13340,13340
32,2008-09-26,Munich,Germany,Olympiahalle,High Wire Albert Hammond Jr.,910652,11805,11805,11805
35,2008-09-30,Assago,Italy,DatchForum,High Wire Albert Hammond Jr.,700365,11218,11218,11218
36,2008-10-02,Rotterdam,Netherlands,Ahoy Rotterdam,High Wire Albert Hammond Jr.,1355736,21600,21600,21600
37,2008-10-03,Rotterdam,Netherlands,Ahoy Rotterdam,High Wire Albert Hammond Jr.,1355736,21600,21600,21600
38,2008-10-04,Antwerp,Belgium,Sportpaleis,High Wire Albert Hammond Jr.,949556,16774,16774,16774
39,2008-10-20,Ottawa,Canada,Scotiabank Place,Snow Patrol,943317,12121,15082,15082
41,2008-10-26,East Rutherford,United States,Izod Center,Snow Patrol,1382442,32460,32460,32460
42,2008-10-27,East Rutherford,United States,Izod Center,Snow Patrol,1382442,32460,32460,32460
43,2008-10-29,Boston,United States,TD Banknorth Garden,Snow Patrol,1256599,14559,14559,14559
44,2008-10-31,"Washington, D.C.",United States,Verizon Center,Snow Patrol,1188903,14158,14158,14158
45,2008-11-01,Philadelphia,United States,Wachovia Center,Snow Patrol,1299252,16068,16068,16068
46,2008-11-03,Auburn Hills,United States,The Palace of Auburn Hills,Snow Patrol,1015289,13330,13330,13330
49,2008-11-09,Sunrise,United States,BankAtlantic Center,Snow Patrol,1258098,15096,15096,15096
52,2008-11-14,Saint Paul,United States,Xcel Energy Center,Pete Yorn,1245529,14922,16010,16010
54,2008-11-18,Houston,United States,Toyota Center,Pete Yorn,1192576,13981,13981,13981
55,2008-11-19,Dallas,United States,American Airlines Center,Pete Yorn,1308581,15483,16430,16430
56,2008-11-21,Denver,United States,Pepsi Center,Pete Yorn,1019790,11656,11656,11656
57,2008-11-22,Salt Lake City,United States,EnergySolutions Arena,Pete Yorn,935607,11598,11598,11598
58,2008-11-25,Anaheim,United States,Honda Center,Pete Yorn,1115426,13649,13649,13649
59,2008-11-26,Glendale,United States,Jobing.com Arena,Pete Yorn,1010272,13257,13257,13257
67,2008-12-11,Manchester,England,Manchester Evening News Arena,Eugene Francis Jnr,1926622,30798,31136,31136
68,2008-12-12,Manchester,England,Manchester Evening News Arena,Eugene Francis Jnr,1926622,30798,31136,31136
69,2008-12-14,London,England,The O2 Arena,The Domino State,2967477,51294,52500,52500
70,2008-12-15,London,England,The O2 Arena,Eugene Francis Jnr,2967477,51294,52500,52500
71,2008-12-16,London,England,The O2 Arena,Eugene Francis Jnr,2967477,51294,52500,52500
72,2008-12-19,Belfast,Northern Ireland,Odyssey Arena,The Flaming Lips,542752,8400,8532,8532
73,2008-12-21,Dublin,Ireland,O2 Dublin,The Flaming Lips,1087926,16280,16280,16280
74,2008-12-22,Dublin,Ireland,O2 Dublin,The Flaming Lips,1087926,16280,16280,16280
