Date (2002),City,Country,Venue
19 June,Edinburgh,Scotland,Queen's Hall
20 June,Liverpool,England,Mountfield Hall
22 June[b],London,England,Royal Festival Hall
24 June,Bath,England,Bath Pavilion
26 June,Truro,England,Hall for Cornwall
28 June[c],Pilton,England,Worthy Farm
30 June[d],Werchter,Belgium,Festivalpark Werchter
2 July,Stockholm,Sweden,Göta Källare
3 July[e],Ringe,Denmark,Ringe Dyrskuepladsen
5 July,Amsterdam,Netherlands,Heineken Music Hall
7 July,Rome,Italy,Valle Giulia
9 July,Hamburg,Germany,Große Freiheit 36
10 July[f],Cologne,Germany,Kultkomplex Cafe
12 July,Oslo,Norway,Rockefeller Music Hall
2 August[g],Chicago,United States,The Vic Theatre
6 August,Boston,United States,Paradise Rock Club
7 August,Philadelphia,United States,Theatre of Living Arts
10 August,"Washington, D.C.",United States,9:30 Club
12 August,New York City,United States,Bowery Ballroom
14 August,Minneapolis,United States,First Avenue
16 August[h],Boulder,United States,Fox Theatre
18 August,San Francisco,United States,Bimbo's 365 Club
20 August,Los Angeles,United States,El Rey Theatre
27 August[i],Paris,France,L'Olympia
29 August,London,England,London Forum
4 September,Seattle,United States,Paramount Theatre
6 September,Berkeley,United States,Hearst Greek Theatre
7 September,Paradise,United States,The Joint
9 September,San Diego,United States,SDSU Open Air Theatre
10 September,Los Angeles,United States,Greek Theatre
16 September,Baltimore,United States,Pier Six Pavilion
17 September,Boston,United States,FleetBoston Pavilion
19 September,Wantagh,United States,Tommy Hilfiger at Jones Beach Theater
21 September,Toronto,Canada,Air Canada Centre
24 September,Chicago,United States,UIC Pavilion
4 October,Glasgow,Scotland,Scottish Exhibition and Conference Centre
5 October,Newcastle,England,Telewest Arena
7 October,Birmingham,England,National Indoor Arena
8 October,Nottingham,England,Nottingham Arena
11 October,Manchester,England,Manchester Evening News Arena
14 October,Brighton,England,Brighton Centre
15 October,Bournemouth,England,Bournemouth International Centre
17 October,Plymouth,England,Plymouth Pavilions
18 October,Port Talbot,Wales,Afan Lido Leisure Centre
20 October,London,England,Wembley Arena
21 October,London,England,Wembley Arena
23 October,Belfast,Northern Ireland,Odyssey Centre
25 October,Dublin,Ireland,Point Theatre
27 October,Dublin,Ireland,Point Theatre
3 November,Brussels,Belgium,Forest National
5 November,Rotterdam,Netherlands,Ahoy Rotterdam
6 November[j],Paris,France,Zénith de Paris
8 November,Cologne,Germany,Palladium
10 November,Munich,Germany,Kulturhalle Zenith
12 November,Montpellier,France,Zénith de Montpellier
15 November,Madrid,Spain,La Riviera
16 November,Barcelona,Spain,Razzmatazz
18 November,Assago,Italy,FilaForum
20 November,Berlin,Germany,Arena Berlin
21 November,Copenhagen,Denmark,Valby-Hallen
23 November,Stockholm,Sweden,Hovet Ice Hall
24 November,Oslo,Norway,Oslo Spektrum
6 December[k],Tokyo,Japan,Liquid Room
8 December[l],Los Angeles,United States,Universal Amphitheatre
9 December[m],San Francisco,United States,Bimbo's 365 Club
11 December[n],Boston,United States,Orpheum Theatre
12 December[o],Uniondale,United States,Nassau Coliseum
13 December[p],"Washington, D.C.",United States,MCI Center
15 December[q],Philadelphia,United States,First Union Center
19 December,Reykjavík,Iceland,Laugardalshöll
