id,name,city,address,postal_code,country,capacity
1132,Candlestick Park,San Francisco,490 Jamestown Ave,94124,US,69732
120,Rocket Mortgage FieldHouse,Cleveland,1 Center Court,44115,US,20562
93,Madison Square Garden,New York,4 Pennsylvania Plaza,10001,US,20000
8,Yankee Stadium,Bronx,1 East 161st Street,10451,US,52325
3882,Al Hirschfeld Theatre,New York,302 West 45th Street,10036,US,1424
21,Fenway Park,Boston,4 Yawkey Way,02215,US,37400
487036,SoFi Stadium,Inglewood,3883 West Century Boulevard,90301,US,72240
1544,TD Garden,Boston,100 Legends Way,02114,US,19580
188,Delta Center,Salt Lake City,301 West South Temple,84101,US,20000
134,Crypto.com Arena,Los Angeles,1111 South Figueroa Street,90015,US,20000
18,Citizens Bank Park,Philadelphia,1 Citizens Bank Way,19148,US,43647
1,Dodger Stadium,Los Angeles,1000 Elysian Park Avenue,90012,US,56000
20,Minute Maid Park,Houston,501 Crawford Street,77002,US,40950
330,Lincoln Financial Field,Philadelphia,1020 Pattison Ave,19148,US,68532
2947,Walter Kerr Theatre,New York,219 West 48th Street,10036,US,975
29,Hard Rock Stadium,Miami Gardens,347 Don Shula Drive,33056,US,38650
187,Ball Arena,Denver,1000 Chopper Circle,80204,US,21000
3,Citi Field,Flushing,123-01 Roosevelt Avenue,11368,US,41800
13,T-Mobile Park,Seattle,1250 First Avenue,98134,US,47116
2924,St. James Theatre,New York,246 West 44th Street,10036,US,1710
161601,T-Mobile Arena,Las Vegas,3780 Las Vegas Boulevard,89158,US,17500
183,Kaseya Center,Miami,601 Biscayne Boulevard,33132,US,20000
181,Capital One Arena,Washington,601 F Street Northwest,20004,US,20173
27,Busch Stadium,St. Louis,700 Clark Avenue,63102,US,46851
2978,Arthur Ashe Stadium,Flushing,124-02 Roosevelt Ave,11368,US,22547
467029,Chase Center,San Francisco,300 16th Street,94158,US,18064
129,Toyota Center,Houston,1510 Polk Street,77002,US,19300
127,State Farm Arena,Atlanta,1 Philips Drive,30303,US,21000
2755,Bryant-Denny Stadium,Tuscaloosa,920 Paul W Bryant Drive,35401,US,101821
196,Red Rocks Amphitheatre,Morrison,18300 West Alameda Parkway,80465,US,9450
1500,Prudential Center,Newark,25 Lafayette Street,07102,US,19500
45,Rose Bowl,Pasadena,1001 Rose Bowl Drive,91103,US,92542
420444,Little Caesars Arena,Detroit,66 Sibley St,48201,US,21000
431354,Dolby Live at Park MGM,Las Vegas,3770 S Las Vegas Blvd,89109,US,6400
435592,Fiserv Forum,Milwaukee,901 Vel R. Phillips Ave,53203,US,17500
1119,Acrisure Stadium,Pittsburgh,100 Art Rooney Avenue,15212,US,68400
3713,Nationals Park,Washington,1500 South Capitol Street Southeast,20003,US,41313
1122,Bank of America Stadium,Charlotte,800 South Mint Street,28202,US,73298
185,Frost Bank Center,San Antonio,1 AT&T Center Parkway,78219,US,18797
7,Coors Field,Denver,2001 Blake Street,80205,US,50445
2762,Notre Dame Stadium,Notre Dame,113 Joyce Center,46556,US,80795
2195,Bridgestone Arena,Nashville,501 Broadway,37203,US,19712
3946,Providence Park,Portland,1844 SW Morrison St,97205,US,22000
3715,Guaranteed Rate Field,Chicago,333 West 35th Street,60616,US,40615
10,PNC Park,Pittsburgh,115 Federal Street,15212,US,38496
2771,Sanford Stadium,Athens,110 Field St,30602,US,92746
2652,Amway Center,Orlando,400 West Church Street,32805,US,18500
2265,PPG Paints Arena,Pittsburgh,1001 Fifth Avenue,15219,US,14536
460055,Dickies Arena,Fort Worth,1911 Montgomery Street,76107,US,13300
1123,Cleveland Browns Stadium,Cleveland,100 Alfred Lerner Way,44114,US,73200
135,Target Center,Minneapolis,600 First Avenue North,55403,US,25500
4112,Children's Mercy Park,Kansas City,1 Sporting Way,66111,US,25000
177304,Golden 1 Center,Sacramento,500 David J Stern Walk,95814,US,19000
2754,Kyle Field,College Station,161 Wellborn Road,77843,US,102733
8447,Circuit of The Americas,Austin,9201 Circuit of the Americas Blvd,78617,US,120000
121,Gainbridge Fieldhouse,Indianapolis,125 S. Pennsylvania St.,46204,US,18345
84,T-Mobile Center,Kansas City,1407 Grand Blvd.,64106,US,19252
2105,Tiger Stadium,Baton Rouge,1 West Stadium Road,70893,US,102321
2773,Beaver Stadium,University Park,1 Beaver Stadium,16802,US,106572
1135,Highmark Stadium - NY,Orchard Park,1 Bills Drive,14127,US,71870
5178,EverBank Stadium,Jacksonville,1 TIAA Bank Field Drive,32202,US,76867
186,Enterprise Center,Saint Louis,1401 Clark Avenue,63103,US,22612
1242,Joe Louis Arena,Detroit,19 Steve Yzerman Dr.,48226,US,21666
3438,Dean Smith Center,Chapel Hill,300 Skipper Bowles Drive,27514,US,21750
1430,PNC Arena,Raleigh,1400 Edwards Mill Road,27607,US,19350
65,Hersheypark Stadium,Hershey,100 W. Hersheypark Dr.,17033,US,30000
432601,BMO Stadium,Los Angeles,3939 South Figueroa St.,90037,US,22000
430,Nationwide Arena,Columbus,200 West Nationwide Boulevard,43215,US,19500
133,Honda Center,Anaheim,2695 E Katella Ave,92806,US,18900
2992,Oakmont Country Club,Oakmont,1233 Hulton Rd.,15139,US,250
53,Irvine Meadows Amphitheatre,Irvine,8808 Irvine Center Drive,92618,US,16085
2758,Kinnick Stadium,Iowa City,886 Stadium Drive,52242,US,70585
14,Oakland Coliseum,Oakland,7000 Coliseum Way,94621,US,36067
99,Value City Arena at Schottenstein Center,Columbus,555 Borror Drive,43210,US,20000
2803,Amon G. Carter Stadium,Fort Worth,2850 Stadium Drive,76129,US,44008
209,Rupp Arena,Lexington,430 West Vine St.,40507,US,23500
2772,Vaught Hemingway Stadium,Oxford,46 East Stadium Drive,38677,US,64038
122,Allstate Arena,Rosemont,6920 N. Mannheim Rd.,60018,US,18500
10361,White Hart Lane,London,748 High Road,N17 0AP,UK,36284
419958,Club Nomadic,Houston,2121 Edwards St,77007,US,9000
53860,Forest Hills Stadium,Forest Hills,1 Tennis Pl,11375,US,14000
143,Talking Stick Resort Amphitheatre,Phoenix,2121 North 83rd Avenue,85035,US,20000
42,Gaylord Family Oklahoma Memorial Stadium,Norman,180 W. Brooks,73019,US,86112
426080,The Pavilion at Toyota Music Factory,Irving,316 West Las Colinas Boulevard,75039,US,8000
157,SAP Center at San Jose,San Jose,525 West Santa Clara Street,95113,US,19190
414,Beacon Theatre,New York,2124 Broadway,10023,US,2894
5162,Memorial Stadium Nebraska,Lincoln,1 Memorial Stadium,68588,US,90000
